Sales, units;янв.18;фев.18;мар.18;апр.18
OMWVI9458C;0;0;0;0
AOSAM6157B;22;26;49;20
SOBXY9082J;0;0;0;0
MKNBC5353P;1;2;1;0
TEFGE1430W;1;2;0;3
JWAFO0501Z;0;1;0;0
DJZPN9915B;0;0;0;0
JWVHL1949B;0;0;0;0
RWZXN6396E;0;0;0;0
CVVYE2780D;0;0;0;0
WOTZZ6947V;0;0;0;0
PPBVE3473V;27;16;10;23
WLVZE1435E;3;3;5;0
RZWYT6292Y;0;0;0;0
HQWWR4776Q;0;0;0;0
BNZOW7233W;0;0;0;0
LHMOM2251J;297;213;271;348
WURET2937X;21;8;51;0
HEVTO8575Z;0;0;0;0
XXQZQ5928O;23;72;63;29
VTACZ6061C;0;0;0;0
IWUHR0013I;62;28;80;121
GJTIQ5323N;0;0;0;0
MWWXS8137F;0;0;0;0
RCLKZ3612K;35;-13;0;14
WVYCC5051D;10;-1;0;5
EHIRX9822K;0;0;2;0
PVHET7070B;0;0;0;0
YHHTA3346D;16;20;-13;30
ZJTHW8775D;191;137;160;297
ZFWSZ6367N;0;0;0;0
LOQTT4701S;21;34;46;80
BEGSE9172Z;23;37;21;96
WJRFV9889Q;0;0;0;0
CVMZA6782H;0;0;-4;0
MTWFN2367Q;21;14;5;36
QANYD1282W;0;-5;1;4
DTXJH1956E;35;0;0;0
YQYYI7114I;0;0;0;0
PAUFJ8585X;0;0;0;0
TQCIM3985E;0;0;0;0
KCWIT2408Q;0;0;0;0
PLOJM5984S;45;-16;21;371
AMFLC0485P;60;115;29;127
CDAPX7026I;240;295;290;522
WFIVZ6938B;0;0;0;0
XSLES3477S;0;0;0;0
KDAZZ4327C;21;-29;0;16
CVZLK4062R;41;55;12;41
XIIQW3419B;0;0;0;0
NWSEZ6864P;0;0;0;0
YWCGV1297S;7;31;6;43
PWJIO2761X;0;0;0;0
TROQU3705W;0;0;0;0
KXQMY0246D;0;0;0;0
ZQSFK5513B;0;0;0;0
PKEJV3747V;4;14;15;0
RCRVG5012B;0;0;0;1
MDYGL8371A;0;0;0;0
RHINZ3246Q;8;1;0;0
XPLEA6925S;0;0;0;0
DQJBW3032Z;0;0;0;0
OQBNY4614X;0;0;0;0
OJSMH2846D;0;15;42;13
XCIGZ2416Z;1;6;25;11
FASTF3108W;0;54;61;0
TMDXW4427Q;0;38;42;11
SCWUM1823I;4;8;7;11
VFPPG2556M;0;0;1;0
DRWGU8015K;0;0;0;0
SQPFL6067Q;160;-4;73;66
EYPSX8014W;160;21;75;50
LVPFV4447K;0;0;-1;0
RWFYN9786G;0;0;22;0
RVGFJ5682V;385;320;686;1136
CMVPQ1787X;25;36;-19;13
VKKNO8069D;43;3;10;65
PFRES4617R;0;0;0;0
EJQYA2823R;0;0;0;0
IVABF7766D;12;24;8;20
TIQCX6322S;13;17;3;4
ZMUNM1690S;103;117;70;15
XIDJI0493R;0;0;0;0
BKEFC9374R;83;106;95;96
XNVAP0632L;0;0;0;0
SALSP7074M;0;1;0;0
GHHAA5461L;8;9;11;10
ZNTBK2724D;10;2;25;18
QWJGI5560U;14;8;9;6
TBHXO8930F;22;22;93;57
QHGWH4383X;36;-3;26;12
HEISP2576C;0;0;0;0
NQECK6435Z;525;67;134;571
KITOO3764M;7;21;4;2
RPXPF9500O;9;73;7;3
TZZJC6508P;75;87;6;0
EMOQE8443G;16;-2;3;-2
BNBLD0451S;60;32;22;55
YBZEW0541P;85;13;164;6
TSYRQ2194K;71;36;14;2
JLNHA9018N;29;25;11;18
PLQSJ8688T;39;28;42;69
CQDXM3604F;0;0;0;0
KXBKG1578I;222;269;80;0
KXOWI2878S;44;40;49;69
MMJTH5383N;213;340;578;785
MNBNU6790P;284;79;0;-1
MXBSJ6279B;14;6;22;7
AZJUI5294G;13;-4;0;3
PDNZF4901N;4;4;0;4
ZXOQK7481N;77;0;13;21
LJTJE9751L;60;36;21;36
GFVGR6551R;0;0;0;0
MTZGR4156F;26;20;15;13
WNEUT1244W;0;0;0;0
QJERM2061X;0;0;0;0
LPMNH7672A;0;0;0;0
JQNBB3436S;0;0;0;0
JBDYM5518T;0;0;0;0
EREGB8536X;0;0;0;0
IADKF3627Y;0;0;0;0
ZCQLJ9260Z;1;0;0;0
OMFGQ9755K;0;0;0;0
SOBCV5230I;0;0;0;0
DVGYF7441C;2;0;0;0
VYDVL5274I;0;0;0;0
JWDHT4383K;0;0;0;0
IMKZD4764I;0;0;0;0
RRMDB7949Y;1;0;0;0
JQMMA3369I;0;0;0;0
JKDSP4007D;0;0;0;0
WNHAL7065A;0;0;0;0
JZRYU2223H;0;0;0;0
DPONM4411U;0;0;0;0
IJEEW9786D;0;0;0;0
DFHAN7222X;0;0;0;0
UUUHQ8498K;17;13;14;15
ANNZP9360C;0;0;0;0
WQTHY9728T;61;46;40;398
JUFVE7145Q;165;9;38;42
CVABX5807P;6;3;3;0
FHGXY3669E;0;0;1;0
MJEYO4778W;94;18;35;55
MQOMA0838O;141;30;8;6
YYQKZ1814R;11;0;0;0
YRQCH3249T;248;170;162;7
YNRQF3694I;243;27;45;24
AHADW2384J;130;104;79;39
ILRVF1599K;52;0;0;0
KQSVG0457C;1;0;0;0
XZELD2527C;36;41;17;26
VHGQE3309A;66;121;0;490
SUUDB7468A;0;0;0;0
ABHBY7316I;0;0;0;0
NBVSH5175J;0;0;0;0
HHTHV2775L;0;0;0;0
AEXUO1651I;29;7;1;6
ATNZU9164H;0;0;0;0
BLUSO4625E;203;82;0;0
MILKC2927E;0;0;0;0
KINQA6394J;20;42;41;49
OTYKE4371M;15;5;5;16
ODFZE4384H;56;40;26;71
OKIWX0729D;0;0;-6;6
AVWGO4294J;72;18;44;38
HQTPM5338K;112;106;83;45
SFSQE1955Y;11;20;13;2
YSROZ8528N;128;101;47;159
EDFXY8271M;55;0;0;0
JPKFR1732S;29;65;68;49
SAREX3102M;0;0;0;0
XRHYR6712I;107;101;138;63
HAHAF4310T;81;109;60;51
YAEAX6014S;120;121;40;32
WUSEC6420L;88;0;0;-1
EXMEZ2356C;140;173;140;128
YDLUW3370F;40;0;0;0
ICEEI2729B;79;71;17;0
QVGPU0140Y;0;0;0;0
PHKUJ8850F;57;70;117;0
FKJPS4544X;142;196;24;0
BKDVS3498W;189;123;224;590
NHBVD3333I;0;11;22;6
ZOWUG3225P;3;7;6;32
HMSMS6645T;9;3;8;0
GNCLU6535W;6;0;0;1
SFPUR1412M;11;0;0;0
LKGNM1132Q;6;0;0;0
AJOSZ8276L;48;0;0;3
AHMDA4264H;159;55;171;72
UPJRU8760U;154;165;233;285
EMJDK6241Q;21;6;24;4
GYMMU3149F;77;0;0;-1
WXPMO3327P;89;77;9;-1
ATWNQ8918J;63;0;0;-1
IUOOJ1866R;52;6;1;1
