Sales RUB;июл.17;авг.17;сен.17;окт.17;ноя.17;дек.17
EAABA3978I;0;0;142740;17250;82800;76130
JUSNP2381Z;0;0;142740;71500;44000;28600
OOQDQ9116D;0;0;142740;0;0;0
WDOZV4044F;0;0;142740;12139;48357;0
OYZMF5042N;0;0;142740;24570;11895;146640
OMWVI9458C;0;0;48420;52455;0;0
AOSAM6157B;0;0;55689,8;46520;6600;-64136,2
SOBXY9082J;0;0;732;0;0;0
MKNBC5353P;0;0;84180;0;31110;31110
TEFGE1430W;0;0;84180;15128;0;15128
JWAFO0501Z;0;0;84180;0;0;21777
DJZPN9915B;0;0;340;0;0;0
JWVHL1949B;0;0;0;2625;0;0
